Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","530.149831","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","202","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","6723.928582","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","3","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4521.752219","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","4","Algérie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4134.936054","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","79","Allemagne","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","44670.222288","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","6","Andorre","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","40632.206414","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","7","Angola","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4042.681402","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","258","Anguilla","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","18718.318721","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","16110.556284","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","194","Arabie saoudite","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","20138.146332","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","9","Argentine","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","14609.78337","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","1","Arménie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4041.995071","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","22","Aruba","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","29329.092347","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","10","Australie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","57430.803787","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","11","Autriche","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","47429.535836","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","52","Azerbaïdjan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4057.624007","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","12","Bahamas","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","30969.876197","X","Ciffre de sources internationales",""
